"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","Direction"
"Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)","1/11",0.0125805227255512,0.113580727574398,0,0,90.7590909090909,397.125975220578,"NDC80","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Spindle Checkpoint (GO:0090232)","1/11",0.0125805227255512,0.113580727574398,0,0,90.7590909090909,397.125975220578,"NDC80","GO_Biological_Process_2023","Positive"
"Fibrinolysis (GO:0042730)","1/12",0.013716673976595,0.113580727574398,0,0,82.504132231405,353.872030109198,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Hematopoietic Stem Cell Differentiation (GO:1902036)","1/12",0.013716673976595,0.113580727574398,0,0,82.504132231405,353.872030109198,"OSM","GO_Biological_Process_2023","Positive"
"Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)","1/12",0.013716673976595,0.113580727574398,0,0,82.504132231405,353.872030109198,"NDC80","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Vasoconstriction (GO:0045907)","1/12",0.013716673976595,0.113580727574398,0,0,82.504132231405,353.872030109198,"FGG","GO_Biological_Process_2023","Positive"
"Killing By Host Of Symbiont Cells (GO:0051873)","1/13",0.0148515749863377,0.113580727574398,0,0,75.625,318.354732825143,"DEFA5","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"FGG","GO_Biological_Process_2023","Positive"
"Protein Activation Cascade (GO:0072376)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"FGG","GO_Biological_Process_2023","Positive"
"Establishment Of Chromosome Localization (GO:0051303)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"NDC80","GO_Biological_Process_2023","Positive"
"Regulation Of Hemopoiesis (GO:1903706)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"MYSM1","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Acute Inflammatory Response (GO:0002675)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Macrophage Differentiation (GO:0045649)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"C1QC","GO_Biological_Process_2023","Positive"
"Blood Coagulation, Fibrin Clot Formation (GO:0072378)","1/14",0.015985227036696,0.113580727574398,0,0,69.8041958041958,288.716456708675,"FGG","GO_Biological_Process_2023","Positive"
"Polyol Biosynthetic Process (GO:0046173)","1/15",0.01711763141868,0.113580727574398,0,0,64.8149350649351,263.64422882818,"IP6K2","GO_Biological_Process_2023","Positive"
"Regulation Of Hormone Secretion (GO:0046883)","1/15",0.01711763141868,0.113580727574398,0,0,64.8149350649351,263.64422882818,"OSM","GO_Biological_Process_2023","Positive"
"Nuclear Chromosome Segregation (GO:0098813)","1/16",0.0182487894189074,0.113580727574398,0,0,60.4909090909091,242.184823451457,"NDC80","GO_Biological_Process_2023","Positive"
"Polyol Metabolic Process (GO:0019751)","1/17",0.0193787023349684,0.113580727574398,0,0,56.7073863636364,223.630150653724,"IP6K2","GO_Biological_Process_2023","Positive"
"Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532)","1/17",0.0193787023349684,0.113580727574398,0,0,56.7073863636364,223.630150653724,"OSM","GO_Biological_Process_2023","Positive"
"Hippo Signaling (GO:0035329)","1/17",0.0193787023349684,0.113580727574398,0,0,56.7073863636364,223.630150653724,"STK3","GO_Biological_Process_2023","Positive"
"Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)","1/17",0.0193787023349684,0.113580727574398,0,0,56.7073863636364,223.630150653724,"NDC80","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Hormone Secretion (GO:0046887)","1/19",0.0216347980764043,0.120130063003192,0,0,50.4015151515151,193.211801083395,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Acute Inflammatory Response (GO:0002673)","1/19",0.0216347980764043,0.120130063003192,0,0,50.4015151515151,193.211801083395,"OSM","GO_Biological_Process_2023","Positive"
"Defense Response To Bacterium (GO:0042742)","2/204",0.0227555693390793,0.120306434182531,0,0,9.32343234323432,35.270035098169,"IGHM;DEFA5","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cellular Process (GO:0048523)","3/537",0.0228692033405419,0.120306434182531,0,0,5.46151685393258,20.6334146374402,"OSM;RNF41;IP6K2","GO_Biological_Process_2023","Positive"
"Innate Immune Response In Mucosa (GO:0002227)","1/21",0.0238859289927227,0.120306434182531,0,0,45.3568181818182,169.383483507259,"DEFA5","GO_Biological_Process_2023","Positive"
"Inositol Phosphate Metabolic Process (GO:0043647)","1/22",0.0250096358786987,0.120306434182531,0,0,43.1948051948052,159.323783819131,"IP6K2","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cell Communication (GO:0010648)","1/22",0.0250096358786987,0.120306434182531,0,0,43.1948051948052,159.323783819131,"OSM","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902042)","1/23",0.0261321054395983,0.120306434182531,0,0,41.2293388429752,150.264061909767,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Interleukin-17 Production (GO:0032740)","1/24",0.0272533389718204,0.120306434182531,0,0,39.4347826086956,142.066928935349,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114)","1/24",0.0272533389718204,0.120306434182531,0,0,39.4347826086956,142.066928935349,"FGG","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352)","1/26",0.0294921031126647,0.120306434182531,0,0,36.2763636363636,127.824582690399,"FGG","GO_Biological_Process_2023","Positive"
"Spindle Assembly Checkpoint Signaling (GO:0071173)","1/26",0.0294921031126647,0.120306434182531,0,0,36.2763636363636,127.824582690399,"NDC80","GO_Biological_Process_2023","Positive"
"Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","1/26",0.0294921031126647,0.120306434182531,0,0,36.2763636363636,127.824582690399,"NDC80","GO_Biological_Process_2023","Positive"
"Mitotic Spindle Checkpoint Signaling (GO:0071174)","1/26",0.0294921031126647,0.120306434182531,0,0,36.2763636363636,127.824582690399,"NDC80","GO_Biological_Process_2023","Positive"
"Regulation Of Vasoconstriction (GO:0019229)","1/26",0.0294921031126647,0.120306434182531,0,0,36.2763636363636,127.824582690399,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Protein Transport (GO:0051223)","1/28",0.0317259386336052,0.120306434182531,0,0,33.5858585858586,115.892058167056,"DNAJC1","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","1/28",0.0317259386336052,0.120306434182531,0,0,33.5858585858586,115.892058167056,"NDC80","GO_Biological_Process_2023","Positive"
"Mucosal Immune Response (GO:0002385)","1/28",0.0317259386336052,0.120306434182531,0,0,33.5858585858586,115.892058167056,"DEFA5","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Signaling (GO:0023057)","1/28",0.0317259386336052,0.120306434182531,0,0,33.5858585858586,115.892058167056,"OSM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Programmed Cell Death (GO:0043068)","2/245",0.0319296697356481,0.120306434182531,0,0,7.73427395649618,26.6385380741316,"STK3;IP6K2","GO_Biological_Process_2023","Positive"
"Establishment Of Mitotic Spindle Orientation (GO:0000132)","1/29",0.0328410113902878,0.121431772658068,0,0,32.3847402597403,110.628772743736,"NDC80","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)","1/30",0.0339548558617346,0.121431772658068,0,0,31.2664576802508,105.765778199073,"C1QC","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Blood Coagulation (GO:0030195)","1/30",0.0339548558617346,0.121431772658068,0,0,31.2664576802508,105.765778199073,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)","1/31",0.0350674733320937,0.122583860013409,0,0,30.2227272727273,101.260681469549,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Apoptotic Process (GO:0043065)","2/270",0.0381289244732737,0.122583860013409,0,0,7.00390902629709,22.8802447236222,"STK3;IP6K2","GO_Biological_Process_2023","Positive"
"Organophosphate Biosynthetic Process (GO:0090407)","1/34",0.0383979766224181,0.122583860013409,0,0,27.4710743801653,89.5488488006926,"IP6K2","GO_Biological_Process_2023","Positive"
"Establishment Of Mitotic Spindle Localization (GO:0040001)","1/34",0.0383979766224181,0.122583860013409,0,0,27.4710743801653,89.5488488006926,"NDC80","GO_Biological_Process_2023","Positive"
"Regulation Of Interleukin-17 Production (GO:0032660)","1/34",0.0383979766224181,0.122583860013409,0,0,27.4710743801653,89.5488488006926,"OSM","GO_Biological_Process_2023","Positive"
"Sister Chromatid Segregation (GO:0000819)","1/34",0.0383979766224181,0.122583860013409,0,0,27.4710743801653,89.5488488006926,"NDC80","GO_Biological_Process_2023","Positive"
"Establishment Of Spindle Orientation (GO:0051294)","1/35",0.0395056989616673,0.122583860013409,0,0,26.6617647058824,86.1524359760047,"NDC80","GO_Biological_Process_2023","Positive"
"Platelet Aggregation (GO:0070527)","1/35",0.0395056989616673,0.122583860013409,0,0,26.6617647058824,86.1524359760047,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026)","1/35",0.0395056989616673,0.122583860013409,0,0,26.6617647058824,86.1524359760047,"FGG","GO_Biological_Process_2023","Positive"
"Spliceosomal snRNP Assembly (GO:0000387)","1/37",0.0417174831924768,0.124139899620396,0,0,25.1780303030303,79.986447314411,"GEMIN7","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Exocytosis (GO:0045921)","1/37",0.0417174831924768,0.124139899620396,0,0,25.1780303030303,79.986447314411,"FGG","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036)","1/38",0.0428215476525957,0.124139899620396,0,0,24.4963144963145,77.1808774372472,"FGG","GO_Biological_Process_2023","Positive"
"RNA Transport (GO:0050658)","1/39",0.043924395374042,0.124139899620396,0,0,23.8504784688995,74.5395523795542,"RBFOX1","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Secretion By Cell (GO:1903531)","1/40",0.0450260276423818,0.124139899620396,0,0,23.2377622377622,72.0490202613887,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Intracellular Signal Transduction (GO:1902531)","2/297",0.0453000591617324,0.124139899620396,0,0,6.35415657788539,19.6626003818668,"STK3;RNF41","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Proteolysis (GO:0045861)","1/41",0.0461264457320206,0.124139899620396,0,0,22.6556818181818,69.6972334432732,"DNAJC1","GO_Biological_Process_2023","Positive"
"Regulation Of Endothelial Cell Apoptotic Process (GO:2000351)","1/43",0.0483236444741316,0.124139899620396,0,0,21.5746753246753,65.3676914067237,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of MAPK Cascade (GO:0043410)","2/310",0.0489194015753988,0.124139899620396,0,0,6.08194186765615,18.3527534451509,"FGG;OSM","GO_Biological_Process_2023","Positive"
"Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854)","1/44",0.0494204276755101,0.124139899620396,0,0,21.0718816067653,63.3713960436082,"IP6K2","GO_Biological_Process_2023","Positive"
"Regulation Of Cellular Metabolic Process (GO:0031323)","1/45",0.0505160017943274,0.124139899620396,0,0,20.5919421487603,61.4765251551077,"RNF41","GO_Biological_Process_2023","Positive"
"Establishment Of Protein Localization To Extracellular Region (GO:0035592)","1/45",0.0505160017943274,0.124139899620396,0,0,20.5919421487603,61.4765251551077,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Stem Cell Differentiation (GO:2000736)","1/45",0.0505160017943274,0.124139899620396,0,0,20.5919421487603,61.4765251551077,"OSM","GO_Biological_Process_2023","Positive"
"Mitotic Nuclear Division (GO:0140014)","1/45",0.0505160017943274,0.124139899620396,0,0,20.5919421487603,61.4765251551077,"NDC80","GO_Biological_Process_2023","Positive"
"Zymogen Activation (GO:0031638)","1/45",0.0505160017943274,0.124139899620396,0,0,20.5919421487603,61.4765251551077,"FGG","GO_Biological_Process_2023","Positive"
"B Cell Receptor Signaling Pathway (GO:0050853)","1/46",0.0516103681028748,0.124139899620396,0,0,20.1333333333333,59.6758582483111,"IGHM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Peptide Hormone Secretion (GO:0090277)","1/46",0.0516103681028748,0.124139899620396,0,0,20.1333333333333,59.6758582483111,"FGG","GO_Biological_Process_2023","Positive"
"Homotypic Cell-Cell Adhesion (GO:0034109)","1/46",0.0516103681028748,0.124139899620396,0,0,20.1333333333333,59.6758582483111,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cell-Cell Adhesion (GO:0022409)","1/46",0.0516103681028748,0.124139899620396,0,0,20.1333333333333,59.6758582483111,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cytokine Production (GO:0001819)","2/320",0.0517739865715395,0.124139899620396,0,0,5.88769092542677,17.4326723908202,"DEFA5;OSM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379)","1/48",0.0537954823572278,0.127537604240169,0,0,19.2746615087041,56.331466269691,"RNF41","GO_Biological_Process_2023","Positive"
"Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)","1/49",0.0548862328463383,0.127541361477688,0,0,18.8721590909091,54.7763045558682,"NECTIN4","GO_Biological_Process_2023","Positive"
"Mitotic Metaphase Plate Congression (GO:0007080)","1/50",0.0559757805878795,0.127541361477688,0,0,18.4860853432282,53.2923554931915,"NDC80","GO_Biological_Process_2023","Positive"
"Metaphase Plate Congression (GO:0051310)","1/51",0.0570641268554459,0.127541361477688,0,0,18.1154545454545,51.8750462798315,"NDC80","GO_Biological_Process_2023","Positive"
"Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)","1/51",0.0570641268554459,0.127541361477688,0,0,18.1154545454545,51.8750462798315,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Proteolysis (GO:0030162)","1/52",0.0581512729120792,0.127541361477688,0,0,17.7593582887701,50.5201798987898,"DNAJC1","GO_Biological_Process_2023","Positive"
"Regulation Of Peptide Hormone Secretion (GO:0090276)","1/52",0.0581512729120792,0.127541361477688,0,0,17.7593582887701,50.5201798987898,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Cell Development (GO:0060284)","1/52",0.0581512729120792,0.127541361477688,0,0,17.7593582887701,50.5201798987898,"MYSM1","GO_Biological_Process_2023","Positive"
"Protein Homotetramerization (GO:0051289)","1/53",0.0592372200228126,0.127541361477688,0,0,17.416958041958,49.2238977007414,"DEFA5","GO_Biological_Process_2023","Positive"
"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)","1/53",0.0592372200228126,0.127541361477688,0,0,17.416958041958,49.2238977007414,"RBFOX1","GO_Biological_Process_2023","Positive"
"Regulation Of Exocytosis (GO:0017157)","1/54",0.0603219694450494,0.128565005584903,0,0,17.0874785591767,47.9826463468622,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)","1/55",0.0614055224333898,0.129264144453665,0,0,16.770202020202,46.7931485229585,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377)","1/56",0.0624878802572221,0.129264144453665,0,0,16.4644628099174,45.6523769349805,"RNF41","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cellular Metabolic Process (GO:0031325)","1/56",0.0624878802572221,0.129264144453665,0,0,16.4644628099174,45.6523769349805,"RNF41","GO_Biological_Process_2023","Positive"
"Selective Autophagy (GO:0061912)","1/58",0.0646490154275843,0.130835517040361,0,0,15.8851674641148,43.5060171218394,"STK3","GO_Biological_Process_2023","Positive"
"Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","1/59",0.0657277952904182,0.130835517040361,0,0,15.6105015673981,42.4954284324617,"NDC80","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Binding (GO:0032092)","1/59",0.0657277952904182,0.130835517040361,0,0,15.6105015673981,42.4954284324617,"STK3","GO_Biological_Process_2023","Positive"
"Regulation Of Multicellular Organismal Development (GO:2000026)","1/59",0.0657277952904182,0.130835517040361,0,0,15.6105015673981,42.4954284324617,"MYSM1","GO_Biological_Process_2023","Positive"
"Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)","1/60",0.0668053849974009,0.131737721817305,0,0,15.3451463790447,41.523530114707,"NECTIN4","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Interleukin-8 Production (GO:0032757)","1/61",0.0678817858220215,0.132620896374505,0,0,15.0886363636364,40.5882436696284,"DEFA5","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Cell Population Proliferation (GO:0008285)","2/379",0.0697745474939924,0.133588033446922,0,0,4.95137046861185,13.1829544782201,"OSM;RNF41","GO_Biological_Process_2023","Positive"
"Protein Polymerization (GO:0051258)","1/63",0.0700310257894275,0.133588033446922,0,0,14.6004398826979,38.819896447204,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Secretion By Cell (GO:1903530)","1/64",0.0711038674321035,0.133588033446922,0,0,14.3679653679654,37.983347923908,"DNAJC1","GO_Biological_Process_2023","Positive"
"Response To Metal Ion (GO:0010038)","1/64",0.0711038674321035,0.133588033446922,0,0,14.3679653679654,37.983347923908,"FGG","GO_Biological_Process_2023","Positive"
"Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)","1/65",0.0721755251798537,0.133588033446922,0,0,14.1427556818182,37.1764152113068,"OSM","GO_Biological_Process_2023","Positive"
"Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)","1/65",0.0721755251798537,0.133588033446922,0,0,14.1427556818182,37.1764152113068,"DEFA5","GO_Biological_Process_2023","Positive"
"Extrinsic Apoptotic Signaling Pathway (GO:0097191)","1/67",0.0743152939821416,0.135176957157171,0,0,13.7128099173554,35.6456061451566,"RNF41","GO_Biological_Process_2023","Positive"
"Protein Secretion (GO:0009306)","1/67",0.0743152939821416,0.135176957157171,0,0,13.7128099173554,35.6456061451566,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068)","1/69",0.0764503421503533,0.135967194566947,0,0,13.3081550802139,34.2167821259975,"OSM","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237)","1/70",0.0775160991028362,0.135967194566947,0,0,13.1146245059289,33.5376310081815,"FGG","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Transport (GO:0051222)","1/70",0.0775160991028362,0.135967194566947,0,0,13.1146245059289,33.5376310081815,"FGG","GO_Biological_Process_2023","Positive"
"Protein Autoubiquitination (GO:0051865)","1/71",0.0785806796212511,0.135967194566947,0,0,12.9266233766234,32.8805394717248,"RNF41","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)","1/71",0.0785806796212511,0.135967194566947,0,0,12.9266233766234,32.8805394717248,"FGG","GO_Biological_Process_2023","Positive"
"Cellular Response To Oxygen-Containing Compound (GO:1901701)","2/406",0.0786161030197512,0.135967194566947,0,0,4.61409712399811,11.7344736523975,"DEFA5;IP6K2","GO_Biological_Process_2023","Positive"
"Protein Tetramerization (GO:0051262)","1/73",0.080706316310888,0.13733090920643,0,0,12.5662878787879,31.6285729817901,"DEFA5","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Secretion By Cell (GO:1903532)","1/73",0.080706316310888,0.13733090920643,0,0,12.5662878787879,31.6285729817901,"FGG","GO_Biological_Process_2023","Positive"
"Import Into Nucleus (GO:0051170)","1/74",0.0817673749589197,0.138023328930657,0,0,12.3935242839352,31.0318598341771,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Secretion (GO:0050714)","1/76",0.0838859790374924,0.14047572680088,0,0,12.0618181818182,29.8927653375453,"FGG","GO_Biological_Process_2023","Positive"
"Proteolysis Involved In Protein Catabolic Process (GO:0051603)","1/78",0.0859999070425244,0.142392484098875,0,0,11.7473435655254,28.8210391772366,"RNF41","GO_Biological_Process_2023","Positive"
"Protein Import Into Nucleus (GO:0006606)","1/79",0.0870551206102124,0.142392484098875,0,0,11.5961538461538,28.3086906884965,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Catabolic Process (GO:0009896)","1/79",0.0870551206102124,0.142392484098875,0,0,11.5961538461538,28.3086906884965,"RNF41","GO_Biological_Process_2023","Positive"
"Regulation Of Interleukin-8 Production (GO:0032677)","1/81",0.0891620529898079,0.144716870621919,0,0,11.3051136363636,27.3278483083795,"DEFA5","GO_Biological_Process_2023","Positive"
"Establishment Of Protein Localization To Organelle (GO:0072594)","1/85",0.0933619730924318,0.148115611447392,0,0,10.7646103896104,25.5258101331122,"STK3","GO_Biological_Process_2023","Positive"
"Mitotic Spindle Organization (GO:0007052)","1/85",0.0933619730924318,0.148115611447392,0,0,10.7646103896104,25.5258101331122,"NDC80","GO_Biological_Process_2023","Positive"
"Defense Response To Gram-positive Bacterium (GO:0050830)","1/85",0.0933619730924318,0.148115611447392,0,0,10.7646103896104,25.5258101331122,"DEFA5","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)","1/89",0.0975433655997771,0.152953012447554,0,0,10.2732438016529,23.9105457782376,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730)","1/90",0.0985858279282814,0.152953012447554,0,0,10.1573033707865,23.5327224231173,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066)","1/90",0.0985858279282814,0.152953012447554,0,0,10.1573033707865,23.5327224231173,"OSM","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Binding (GO:0051099)","1/91",0.0996271383895574,0.153285936385489,0,0,10.0439393939394,23.1645451099596,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Catabolic Process (GO:0045732)","1/92",0.100667298168532,0.153285936385489,0,0,9.93306693306693,22.8056688483342,"RNF41","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Protein Kinase B Signaling (GO:0051897)","1/93",0.10170630850222,0.153285936385489,0,0,9.824604743083,22.4557645074165,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135)","1/93",0.10170630850222,0.153285936385489,0,0,9.824604743083,22.4557645074165,"OSM","GO_Biological_Process_2023","Positive"
"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)","1/94",0.102744170595246,0.153751914862389,0,0,9.71847507331378,22.1145179349674,"RBFOX1","GO_Biological_Process_2023","Positive"
"Phosphatidylinositol Biosynthetic Process (GO:0006661)","1/98",0.106884160764475,0.15882083043172,0,0,9.31583880037488,20.8303053683161,"IP6K2","GO_Biological_Process_2023","Positive"
"Protein Catabolic Process (GO:0030163)","1/102",0.111005875751784,0.163791886598786,0,0,8.94509450945094,19.6628575794324,"RNF41","GO_Biological_Process_2023","Positive"
"Macroautophagy (GO:0016236)","1/104",0.113059904110392,0.164521653567536,0,0,8.77052074139453,19.1183097949485,"STK3","GO_Biological_Process_2023","Positive"
"Positive Regulation Of Inflammatory Response (GO:0050729)","1/104",0.113059904110392,0.164521653567536,0,0,8.77052074139453,19.1183097949485,"OSM","GO_Biological_Process_2023","Positive"
"Response To Calcium Ion (GO:0051592)","1/106",0.115109392544778,0.16635672484211,0,0,8.6025974025974,18.5977175767614,"FGG","GO_Biological_Process_2023","Positive"
"Cell-Matrix Adhesion (GO:0007160)","1/109",0.118175133748824,0.169625532115658,0,0,8.36237373737374,17.8585814135562,"FGG","GO_Biological_Process_2023","Positive"
"Mitotic Sister Chromatid Segregation (GO:0000070)","1/111",0.120213314180467,0.17138519791945,0,0,8.20950413223141,17.3917318535009,"NDC80","GO_Biological_Process_2023","Positive"
"Negative Regulation Of Canonical Wnt Signaling Pathway (GO:0090090)","1/114",0.123262138133037,0.174552423799133,0,0,7.99034593724859,16.7273256762546,"STK3","GO_Biological_Process_2023","Positive"
